epoch,loss_render,loss_render_raw_mean,loss_render_raw_max,loss_smooth,tiempo_seg
1,0.000002,0.186306,0.206694,0.000000,38.501
2,0.000002,0.186215,0.206559,0.000000,38.198
3,0.000002,0.186124,0.206424,0.000000,38.346
4,0.000002,0.186033,0.206290,0.000000,38.415
5,0.000002,0.185943,0.206156,0.000000,38.394
6,0.000002,0.185853,0.206022,0.000000,38.451
7,0.000002,0.185762,0.205889,0.000000,38.444
8,0.000002,0.185673,0.205757,0.000000,38.449
9,0.000002,0.185583,0.205624,0.000000,38.374
10,0.000002,0.185494,0.205492,0.000000,38.493
11,0.000002,0.185405,0.205361,0.000000,38.425
12,0.000002,0.185316,0.205229,0.000000,38.452
13,0.000002,0.185227,0.205099,0.000000,38.475
14,0.000002,0.185139,0.204968,0.000000,38.477
15,0.000002,0.185051,0.204838,0.000000,38.403
16,0.000002,0.184963,0.204709,0.000000,38.450
17,0.000002,0.184875,0.204580,0.000000,38.460
18,0.000001,0.184788,0.204451,0.000000,38.383
19,0.000001,0.184700,0.204323,0.000000,38.462
20,0.000001,0.184614,0.204195,0.000000,38.411
21,0.000001,0.184527,0.204068,0.000000,38.425
22,0.000001,0.184441,0.203942,0.000000,38.460
23,0.000001,0.184355,0.203815,0.000000,38.412
24,0.000001,0.184269,0.203690,0.000000,38.465
25,0.000001,0.184183,0.203564,0.000000,38.483
26,0.000001,0.184098,0.203440,0.000000,38.538
27,0.000001,0.184013,0.203315,0.000000,38.481
28,0.000001,0.183928,0.203191,0.000000,38.471
29,0.000001,0.183844,0.203068,0.000000,38.515
30,0.000001,0.183760,0.202945,0.000000,38.446
31,0.000001,0.183676,0.202823,0.000000,38.444
32,0.000001,0.183593,0.202701,0.000000,38.375
33,0.000001,0.183509,0.202579,0.000000,38.478
34,0.000001,0.183426,0.202458,0.000000,38.490
35,0.000001,0.183344,0.202338,0.000000,38.441
36,0.000001,0.183261,0.202218,0.000000,38.419
37,0.000001,0.183179,0.202098,0.000000,38.473
38,0.000001,0.183097,0.201980,0.000000,38.504
39,0.000001,0.183016,0.201861,0.000000,38.425
40,0.000001,0.182934,0.201743,0.000000,38.505
41,0.000001,0.182853,0.201625,0.000000,38.565
42,0.000001,0.182773,0.201508,0.000000,38.509
43,0.000001,0.182692,0.201392,0.000000,38.470
44,0.000001,0.182612,0.201275,0.000000,38.443
45,0.000001,0.182532,0.201160,0.000000,38.487
46,0.000001,0.182453,0.201044,0.000000,38.497
47,0.000001,0.182373,0.200930,0.000000,38.445
48,0.000001,0.182294,0.200815,0.000000,38.431
49,0.000001,0.182216,0.200702,0.000000,38.508
50,0.000001,0.182137,0.200588,0.000000,38.504
51,0.000001,0.182059,0.200475,0.000000,38.448
52,0.000001,0.181981,0.200363,0.000000,38.538
53,0.000001,0.181903,0.200251,0.000000,38.540
54,0.000001,0.181826,0.200140,0.000000,38.527
55,0.000001,0.181749,0.200029,0.000000,38.528
56,0.000001,0.181672,0.199918,0.000000,38.515
57,0.000001,0.181595,0.199808,0.000000,38.582
58,0.000001,0.181519,0.199699,0.000000,38.512
59,0.000001,0.181443,0.199589,0.000000,38.470
60,0.000001,0.181367,0.199481,0.000000,38.457
61,0.000001,0.181291,0.199372,0.000000,38.484
62,0.000001,0.181216,0.199264,0.000000,38.457
63,0.000001,0.181141,0.199157,0.000000,38.490
64,0.000001,0.181067,0.199050,0.000000,38.448
65,0.000001,0.180992,0.198943,0.000000,38.487
66,0.000001,0.180918,0.198837,0.000000,38.443
67,0.000001,0.180844,0.198731,0.000000,38.491
68,0.000001,0.180770,0.198626,0.000000,38.480
69,0.000001,0.180696,0.198521,0.000000,38.551
70,0.000001,0.180623,0.198416,0.000000,38.611
71,0.000001,0.180550,0.198312,0.000000,38.602
72,0.000001,0.180477,0.198208,0.000000,38.544
73,0.000001,0.180405,0.198105,0.000000,38.589
74,0.000001,0.180332,0.198002,0.000000,38.524
75,0.000001,0.180260,0.197899,0.000000,38.489
76,0.000001,0.180189,0.197797,0.000000,38.501
77,0.000001,0.180117,0.197696,0.000000,38.554
78,0.000001,0.180046,0.197594,0.000000,38.462
79,0.000001,0.179974,0.197494,0.000000,38.442
80,0.000001,0.179904,0.197393,0.000000,38.521
81,0.000001,0.179833,0.197293,0.000000,38.575
82,0.000001,0.179762,0.197193,0.000000,38.575
83,0.000001,0.179692,0.197094,0.000000,38.585
84,0.000001,0.179622,0.196995,0.000000,38.548
85,0.000001,0.179553,0.196896,0.000000,38.654
86,0.000001,0.179483,0.196798,0.000000,38.571
87,0.000001,0.179414,0.196700,0.000000,38.606
88,0.000001,0.179345,0.196602,0.000000,38.578
89,0.000001,0.179276,0.196505,0.000000,38.565
90,0.000001,0.179207,0.196408,0.000000,38.550
91,0.000001,0.179139,0.196312,0.000000,38.562
92,0.000001,0.179071,0.196215,0.000000,38.591
93,0.000001,0.179003,0.196120,0.000000,38.608
94,0.000001,0.178935,0.196024,0.000000,38.558
95,0.000001,0.178868,0.195929,0.000000,38.534
96,0.000001,0.178800,0.195834,0.000000,38.565
97,0.000001,0.178733,0.195740,0.000000,38.571
98,0.000001,0.178666,0.195646,0.000000,38.654
99,0.000001,0.178599,0.195552,0.000000,38.547
100,0.000001,0.178533,0.195459,0.000000,38.544
101,0.000001,0.178467,0.195366,0.000000,38.547
102,0.000001,0.178401,0.195273,0.000000,38.475
103,0.000001,0.178335,0.195181,0.000000,38.494
104,0.000001,0.178269,0.195089,0.000000,38.515
105,0.000001,0.178204,0.194997,0.000000,38.555
106,0.000001,0.178138,0.194906,0.000000,38.590
107,0.000001,0.178073,0.194815,0.000000,38.528
108,0.000001,0.178008,0.194724,0.000000,38.590
109,0.000001,0.177943,0.194633,0.000000,38.582
110,0.000001,0.177879,0.194543,0.000000,38.537
111,0.000001,0.177815,0.194454,0.000000,38.544
112,0.000001,0.177751,0.194364,0.000000,38.615
113,0.000001,0.177687,0.194275,0.000000,38.663
114,0.000001,0.177623,0.194186,0.000000,38.588
115,0.000001,0.177559,0.194098,0.000000,38.565
116,0.000001,0.177496,0.194009,0.000000,38.479
117,0.000001,0.177433,0.193960,0.000000,38.493
118,0.000001,0.177370,0.193922,0.000000,38.519
119,0.000001,0.177307,0.193883,0.000000,38.508
120,0.000001,0.177245,0.193844,0.000000,38.525
121,0.000001,0.177182,0.193806,0.000000,38.573
