epoch,loss_render,loss_render_raw_mean,loss_render_raw_max,loss_smooth,tiempo_seg
1,0.169505,0.169505,0.195150,0.000000,9.463
2,0.160097,0.160097,0.192352,0.000000,9.533
3,0.151087,0.151087,0.195207,0.058346,9.613
4,0.142814,0.142814,0.198259,0.123685,9.615
5,0.135681,0.135681,0.201243,0.229331,9.677
6,0.129676,0.129676,0.204047,0.221458,9.731
7,0.124592,0.124592,0.206592,0.240460,9.790
8,0.120222,0.120222,0.208827,0.281627,9.840
9,0.116406,0.116406,0.210704,0.345090,9.897
10,0.113026,0.113026,0.212187,0.410739,9.941
11,0.109994,0.109994,0.213260,0.486218,9.981
12,0.107245,0.107245,0.213920,0.560276,9.871
13,0.104726,0.104726,0.214178,0.633751,9.902
14,0.102401,0.102401,0.214055,0.716600,9.927
15,0.100241,0.100241,0.213586,0.798553,9.958
16,0.098222,0.098223,0.212796,0.885420,9.982
17,0.096328,0.096328,0.211711,0.976551,10.020
18,0.094544,0.094544,0.210358,1.063808,10.041
19,0.092859,0.092859,0.208772,1.152953,10.058
20,0.091260,0.091260,0.206988,1.243000,10.078
21,0.089733,0.089733,0.205036,1.334152,10.092
22,0.088267,0.088267,0.202948,1.431317,10.108
23,0.086856,0.086856,0.200754,1.532657,10.125
24,0.085495,0.085495,0.198480,1.638719,10.131
25,0.084181,0.084181,0.196146,1.750774,10.143
26,0.082912,0.082912,0.193771,1.869308,10.154
27,0.081684,0.081684,0.191371,1.995254,10.167
28,0.080494,0.080494,0.188965,2.130821,10.176
29,0.079339,0.079339,0.186562,2.276667,10.180
30,0.078217,0.078217,0.184164,2.430695,10.188
31,0.077127,0.077127,0.181781,2.591128,10.192
32,0.076068,0.076068,0.179418,2.757908,10.197
33,0.075036,0.075036,0.177084,2.931359,10.202
34,0.074031,0.074031,0.174790,3.110468,10.209
35,0.073053,0.073053,0.172540,3.295345,10.211
36,0.072099,0.072099,0.170332,3.487353,10.216
37,0.071168,0.071168,0.168159,3.686676,10.219
38,0.070259,0.070259,0.166016,3.892659,10.225
39,0.069370,0.069369,0.163898,4.107948,10.230
40,0.068499,0.068499,0.161807,4.333610,10.241
41,0.067647,0.067647,0.159746,4.568528,10.240
42,0.066812,0.066812,0.157712,4.810799,10.245
