epoch,loss_render,loss_render_raw_mean,loss_render_raw_max,loss_smooth,tiempo_seg
1,0.002105,0.212766,0.235285,0.000000,39.145
2,0.001834,0.205820,0.230915,0.000000,39.136
3,0.001600,0.199110,0.229020,0.000045,39.432
4,0.001400,0.192696,0.227130,0.000242,39.625
5,0.001230,0.186636,0.225505,0.001899,39.804
6,0.001087,0.180971,0.224168,0.004952,39.968
7,0.000966,0.175724,0.222830,0.005184,40.015
8,0.000865,0.170895,0.221490,0.002040,40.151
9,0.000780,0.166469,0.220149,0.002081,40.255
10,0.000707,0.162422,0.218806,0.002031,40.356
11,0.000646,0.158722,0.217462,0.001509,40.507
12,0.000594,0.155340,0.216119,0.001514,40.630
13,0.000549,0.152243,0.214777,0.001227,40.714
14,0.000509,0.149403,0.213436,0.001160,40.801
15,0.000475,0.146793,0.212097,0.001052,40.876
16,0.000446,0.144388,0.210763,0.000935,40.897
17,0.000419,0.142167,0.209434,0.000868,40.968
18,0.000396,0.140111,0.208111,0.000753,41.073
19,0.000375,0.138203,0.206797,0.000704,41.079
20,0.000357,0.136428,0.205491,0.000619,41.155
21,0.000340,0.134773,0.204197,0.000568,41.227
22,0.000325,0.133228,0.202914,0.000518,41.286
23,0.000311,0.131780,0.201645,0.000460,41.333
24,0.000299,0.130423,0.200390,0.000432,41.375
25,0.000288,0.129147,0.199151,0.000384,41.366
26,0.000277,0.127946,0.197930,0.000362,41.382
27,0.000268,0.126813,0.196725,0.000332,41.411
28,0.000259,0.125742,0.195538,0.000304,41.490
29,0.000251,0.124730,0.194371,0.000289,41.443
30,0.000243,0.123770,0.193222,0.000262,41.552
31,0.000236,0.122860,0.192092,0.000253,41.592
32,0.000230,0.121994,0.190982,0.000233,41.660
33,0.000224,0.121170,0.189892,0.000221,41.738
34,0.000218,0.120386,0.188823,0.000209,41.722
35,0.000213,0.119636,0.187775,0.000198,41.773
36,0.000208,0.118921,0.186747,0.000192,41.782
37,0.000203,0.118236,0.185739,0.000182,41.806
38,0.000199,0.117580,0.184751,0.000176,41.722
39,0.000194,0.116952,0.183784,0.000170,41.722
40,0.000190,0.116348,0.182837,0.000165,41.692
41,0.000187,0.115768,0.181908,0.000162,41.589
42,0.000183,0.115211,0.180999,0.000158,41.594
43,0.000180,0.114673,0.180109,0.000154,41.671
44,0.000177,0.114156,0.179237,0.000150,41.682
45,0.000173,0.113656,0.178383,0.000147,41.703
46,0.000171,0.113173,0.177547,0.000144,41.762
47,0.000168,0.112707,0.176726,0.000141,41.800
48,0.000165,0.112255,0.175922,0.000139,41.820
49,0.000163,0.111818,0.175134,0.000137,41.848
50,0.000160,0.111394,0.174360,0.000136,41.886
51,0.000158,0.110983,0.173602,0.000134,41.838
52,0.000156,0.110584,0.172858,0.000134,41.920
53,0.000153,0.110195,0.172129,0.000134,41.948
54,0.000151,0.109818,0.171413,0.000134,41.989
